ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"25815","NORTHCLIFFE BLVD","","ST CLAIR AVE W","ROSEMOUNT AVE","Toronto and East York","Local","43.677777","-79.440598","2015-08-24 07:00","2016-02-11 19:00","Continuous","Southbound lane restrictions at 94 Northcliffe Blvd. due to installation of sign.","Planned"
"25846","FRANCINE DR","","LESLIE ST","ZIRCON CRT","North York","Collector","43.805818","-79.368528","2015-08-27 07:00","2015-11-19 19:00","Daily","The eastbound right lane will be occupied due to installation of new Toronto Hydro infrastructure.","Planned"
"25893","FINCH AVE E","","TIFFIELD RD","BRIMLEY RD","Scarborough","Major Arterial","43.810729","-79.253668","2015-09-01 07:00","2015-11-30 19:00","Daily","The eastbound and westbound lanes will be occupied due to installation of new poles.","Planned"
"26030","HATHOR CRES","","ROWNTREE MILL RD","ROWNTREE MILL RD","Etobicoke York","Local","43.753463","-79.576123","2015-08-31 07:00","2015-10-31 19:00","Daily","All lanes will be occupied in all directions one lane at a time due to THESL underground installation.","Planned"
"26121","WARDEN AVE","","SHEPPARD AVE E","ELLESMERE RD","Scarborough","Major Arterial","43.778561","-79.307938","2015-09-14 06:00","2015-11-30 23:00","Daily","The southbound curb lane and northbound curb lane will be occupied due to major road resurfacing.","Planned"
"26122","WARDEN AVE","","SHEPPARD AVE E","ELLESMERE RD","Scarborough","Major Arterial","43.761308","-79.30065","2015-09-14 06:00","2015-11-30 23:00","Daily","The northbound curb lane and southbound curb lane will be occupied due to major road resurfacing.","Planned"
"26142","ST CLAIR AVE W","","FOXBAR RD","YONGE ST","Toronto and East York","Major Arterial","43.68663","-79.4007","2015-09-03 09:00","2015-10-09 16:00","Daily","The westbound curb lane will be occupied for drilling of 21 boreholes.","Planned"
"26147","STEELES AVE E","HWY 404","","","North York","Major Arterial","43.813118","-79.352145","2015-09-04 00:01","2015-12-01 23:59","Continuous","2 westbound lanes and the sidewalk will be occupied due to bridge rehabilitation.","Planned"
"26280","DUPONT ST","SPADINA RD","SPADINA RD","DUPONT ST","Toronto and East York","Major Arterial","43.67486","-79.40713","2015-09-08 07:00","2015-10-12 23:00","Continuous","Eastbound and Westbound lane reductions for left turn lanes on Dupont St and Southbound on Spadina Rd due to construction of Toronto Hydro infrastructure.","Planned"
"26282","FINCH AVE W","HWY 27 to ISLINGTON AVE","","","Etobicoke York","Major Arterial","43.735544","-79.596866","2015-09-14 09:00","2015-10-09 16:00","Daily","All eastbound and westbound lanes will be occupied one lane at a time due to utility daylighting (test holes) in various locations along Finch Ave W.","Planned"
"26351","BREMNER BLVD","","YORK ST","LAKE SHORE BLVD W","Toronto and East York","Collector","43.64297","-79.38003","2015-09-09 07:00","2015-10-28 22:30","Continuous","Road will be closed on the following dates by Maple Leaf Sports & Entertainment Ltd:
Sept 9, 11a-3p - World Cup of Hockey Announcement
Sept 12 & 13, 7a-9p - Leaf Fanfest
Sept 26, 8a-10p - Coke Game Day
Oct 7, 5p-10:30p - Leafs Home Opener
Oct 28, 5p-10:30p - Raptors Home Opener","Planned"
"26383","ELIZABETH ST","","EDWARD ST","DUNDAS ST W","Toronto and East York","Collector","43.655938","-79.385359","2015-08-17 07:00","2015-10-30 19:00","Daily","The southbound curb lane will be occupied due to underground utility installation.","Planned"
"26403","BATHURST ST","","ST CLAIR AVE W","ROSEMARY LANE","Toronto and East York","Major Arterial","43.683041","-79.418261","2015-09-10 07:00","2015-11-30 19:00","Continuous","One northbound and southbound lane will be occupied due to bathurst street resurfacing.","Planned"
"26407","O CONNOR DR","","ST CLAIR AVE E","EGLINTON AVE E","Toronto and East York","Major Arterial","43.705397","-79.312817","2015-09-10 00:01","2015-11-30 23:59","Continuous","Two westbound lanes will be occupied due to road reconstruction of Bathurst St.","Planned"
"26446","BIRMINGHAM ST","TWENTIETH ST","","","Etobicoke York","Collector","43.600232","-79.520206","2015-09-14 07:00","2015-10-14 19:00","Continuous","The westbound lane will be occupied due to manhole rebuild.","Planned"
"26473","MIDWEST RD","350 MIDWEST RD","","","Scarborough","Local","43.760998","-79.271363","2015-09-21 07:00","2015-10-16 16:00","Daily","One lane at a time will be blocked due to electrical work.","Planned"
"26477","VICTORIA PARK AVE","","FINCH AVE E","MCNICOLL AVE","Scarborough","Major Arterial","43.798914","-79.334057","2015-09-11 07:00","2015-12-11 19:00","Daily","Southbound curb lane will be occupied due to pole removal and replacement.","Planned"
"26497","RIVER ST","","LABATT AVE","OAK ST","Toronto and East York","Minor Arterial","43.659762","-79.357528","2015-09-12 09:00","2015-10-09 16:00","Daily","The northbound curb lane will be occupied due to THESL underground installation.","Planned"
"26512","MIDWEST RD","MIDLAND AVE","","","Scarborough","Collector","43.760585","-79.271191","2015-09-21 07:00","2015-10-16 19:00","Daily","The northbound and southbound lanes will be occupied alternately due to trench for hydro ducts.","Planned"
"26527","LESLIE ST","","COMMISSIONERS ST","LAKE SHORE BLVD E","Toronto and East York","Collector","43.65778","-79.32734","2015-09-15 00:01","2015-10-31 23:59","Continuous","One lane northbound and southbound will be occupied due to TTC Leslie Street Connection Track Project by Pomerleau. (Lane reductions on Lake Shore Blvd required to re-build median to occur during off-peak hours: from 7a-3p eastbound; from 9a-7p westbound).","Planned"
"26552","BRIDGEND ST","","EASTPORT DR","BRIDGEPORT DR","Scarborough","Local","43.776264","-79.137924","2015-09-15 07:00","2015-10-15 19:00","Continuous","The eastbound and westbound lanes will be occupied due to THESL underground installation.","Planned"
"26585","MIDLAND AVE","","FISHLEIGH DR","KINGSTON RD","Scarborough","Major Arterial","43.702066","-79.24441","2015-09-14 07:00","2016-06-30 21:00","Daily","The northbound curb lane and southbound curb lane will be occupied due to new water main installation. This will be conducted by Kenco Construction Ltd.","Planned"
